1,1.0
2,5.0
4,1.0
8,1.125
16,3.5
32,3.90625
64,3.75
128,2.59375
256,4.96875
512,6.564453125
1024,12.4501953125
2048,36.95263671875
4096,5.993408203125
8192,8.572021484375
16384,7.18157958984375
32768,11.84039306640625
65536,23.867416381835938
131072,13.359947204589844
262144,9.689769744873047
524288,26.504844665527344
1048576,21.589616775512695
2097152,11.156700611114502
4194304,10.524715662002563
8388608,10.412395000457764
16777216,11.9647656083107
33554432,11.622227519750595
67108864,11.451985895633698
